全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
112038,k130000001,埼玉県川口市,川口市立栄町保育所,カワグチシリツサカエチョウホイクショ,,認可公立保育所,112038,,埼玉県川口市栄町1-2-19,埼玉県,川口市栄町1-2-19,,,,35.80447743,139.7269241,,,,,(048)252-4384,,(048)258-6710,,,,,,川口市,1952/1/25,70,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000002,埼玉県川口市,川口市立横曽根保育所,カワグチシリツヨコゾネホイクショ,,認可公立保育所,112038,,埼玉県川口市南町1-2-37,埼玉県,川口市南町1-2-37,,,,35.80333025,139.7044606,,,,,(048)252-3588,,(048)258-6712,,,,,,川口市,1948/6/30,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000003,埼玉県川口市,川口市立仲町東保育所,カワグチシリツナカチョウヒガシホイクショ,,認可公立保育所,112038,,埼玉県川口市仲町15-15,埼玉県,川口市仲町15-15,,,,35.80793777,139.7085455,,,,,(048)253-2873,,(048)258-6713,,,,,,川口市,1967/4/1,114,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000004,埼玉県川口市,川口市立並木保育所,カワグチシリツナミキホイクショ,,認可公立保育所,112038,,埼玉県川口市並木2-3-6,埼玉県,川口市並木2-3-6,,,,35.81703382,139.707111,,,,,(048)251-2289,,(048)258-6715,,,,,,川口市,1964/5/1,60,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,令和３年度より休所
112038,k130000005,埼玉県川口市,川口市立南青木保育所,カワグチシリツミナミアオキホイクショ,,認可公立保育所,112038,,埼玉県川口市青木1-4-4,埼玉県,川口市青木1-4-4,,,,35.80688186,139.724957,,,,,(048)251-7248,,(048)258-6716,,,,,,川口市,1959/4/1,150,0歳から5歳,月火水木金土,7:00,20:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000006,埼玉県川口市,川口市立青木北保育所,カワグチシリツアオキキタホイクショ,,認可公立保育所,112038,,埼玉県川口市西青木1-8-28,埼玉県,川口市西青木1-8-28,,,,35.81460181,139.7153434,,,,,(048)251-2035,,(048)258-6719,,,,,,川口市,1962/4/1,60,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000007,埼玉県川口市,川口市立上青木西保育所,カワグチシリツカミアオキニシホイクショ,,認可公立保育所,112038,,埼玉県川口市上青木西2-14-14,埼玉県,川口市上青木西2-14-14,,,,35.82557269,139.7169405,,,,,(048)253-1700,,(048)253-1701,,,,,,川口市,1972/4/1,113,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,有,,,,,,,,,,,,,,,
112038,k130000008,埼玉県川口市,川口市立前川保育所,カワグチシリツマエカワホイクショ,,認可公立保育所,112038,,埼玉県川口市前川4-12-12,埼玉県,川口市前川4-12-12,,,,35.83843044,139.7073811,,,,,(048)265-6417,,(048)269-9453,,,,,,川口市,1954/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000009,埼玉県川口市,川口市立前川南保育所,カワグチシリツマエカワミナミホイクショ,,認可公立保育所,112038,,埼玉県川口市南前川2-15-2,埼玉県,川口市南前川2-15-2,,,,35.83165716,139.7096711,,,,,(048)266-5537,,(048)269-9454,,,,,,川口市,1972/4/1,120,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
112038,k130000010,埼玉県川口市,川口市立あさひ保育所,カワグチシリツアサヒホイクショ,,認可公立保育所,112038,,埼玉県川口市朝日1-13-3,埼玉県,川口市朝日1-13-3,,,,35.80821333,139.7350584,,,,,(048)222-6854,,(048)225-8562,,,,,,川口市,1956/4/1,90,1歳から5歳,月火水木金土,7:00,19:00,土曜日の開所時間は07：00から18：00休所日は日曜日及び祝日、12/29から1/3まで,無,,,,,,,,,,,,,,,
